,PREPOSIÇÕES,,,
o,pronoun,MASC,singular,terceira
a,pronoun,FEMI,singular,terceira
a,preposition,FEMI,singular,
ao,preposition,MASC,singular,
aos,preposition,MASC,singular,
os,pronoun,MASC,plural,terceira
as,pronoun,FEMI,plural,terceira
da,preposition,FEMI,singular,
do,preposition,MASC,singular,
dos,preposition,MASC,plural,
das,preposition,FEMI,plural,
dele,preposition,MASC,singular
dela,preposition,FEMI,singular
deles,preposition,MASC,plural
delas,preposition,FEMI,plural
quando,conjunction,INDF,DESC
e,conjunction,INDF,DESC
não,conjunction,INDF,DESC
um,pronoun,MASC,singular,terceira
uma,pronoun,FEMI,singular,terceira
uns,pronoun,MASC,plural,terceira
umas,pronoun,FEMI,singular,terceira
ante,preposition,FEMI,singular,DESC
após,preposition,INDF,INDF,DESC
até,preposition,INDF,INDF,DESC
com,preposition,INDF,INDF,DESC
contra,preposition,INDF,INDF,DESC
de,preposition,INDF,INDF,DESC
desde,preposition,INDF,INDF,DESC
em,preposition,INDF,INDF,DESC
entre,preposition,INDF,INDF,DESC
para,preposition,INDF,INDF,DESC
por,preposition,INDF,INDF,DESC
perante,preposition,INDF,INDF,DESC
sem,preposition,INDF,INDF,DESC
sob,preposition,INDF,INDF,DESC
sobre,preposition,INDF,INDF,DESC
trás,preposition,INDF,INDF,DESC
eu,pronoun,INDF,singular,primeira
tu,pronoun,INDF,singular,segunda
ele,pronoun,MASC,singular,terceira
ela,pronoun,FEMI,singular,terceira
você,pronoun,INDF,singular,terceira
nós,pronoun,INDF,plural,primeira
vós,pronoun,INDF,plural,segunda
eles,pronoun,MASC,plural,terceira
elas,pronoun,FEMI,plural,terceira
vocês,pronoun,INDF,plural,terceira
mas,conjunction,INDF,INDF,DESC
cara,noun,INDF,singular,terceira
caras,noun,INDF,plural,terceira
